CK155,281606.463,232976.24,163.248
CK156,281606.202,232982.47,163.294
CK157,281606.315,232988.798,163.287
CK158,281609.982,233005.166,163.362
CK159,281613.645,233011.294,163.532
CK160,281613.604,233017.5,163.724
CK161,281613.694,233023.75,163.823
CK162,281613.705,233030.023,163.928
CK163,281613.693,233036.215,164.092
CK164,281613.773,233042.54,164.317
CK165,281613.732,233048.793,164.541
